snapshot_id,snapshot_date,headline,summary_text,metric_payload_json,is_published,published_at,metric_month,metric_avg_health_score,metric_avg_education_progress,metric_total_residents,metric_donations_total_for_month
1,2023-01-01,Lighthouse Sanctuary Impact Update - January 2023,"Anonymized aggregate report: 60 residents active, average health score 3.03, average education progress 33.9%.","{'month': '2023-01', 'avg_health_score': 3.03, 'avg_education_progress': 33.9, 'total_residents': 60, 'donations_total_for_month': 1379.92}",True,2023-01-01,2023-01,3.03,33.9,60,1379.92
2,2023-02-01,Lighthouse Sanctuary Impact Update - February 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 51.05%.","{'month': '2023-02', 'avg_health_score': 3.13, 'avg_education_progress': 51.05, 'total_residents': 60, 'donations_total_for_month': 2065.15}",True,2023-02-01,2023-02,3.13,51.05,60,2065.15
3,2023-03-01,Lighthouse Sanctuary Impact Update - March 2023,"Anonymized aggregate report: 60 residents active, average health score 3.16, average education progress 60.57%.","{'month': '2023-03', 'avg_health_score': 3.16, 'avg_education_progress': 60.57, 'total_residents': 60, 'donations_total_for_month': 9577.83}",True,2023-03-01,2023-03,3.16,60.57,60,9577.83
4,2023-04-01,Lighthouse Sanctuary Impact Update - April 2023,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 69.15%.","{'month': '2023-04', 'avg_health_score': 3.2, 'avg_education_progress': 69.15, 'total_residents': 60, 'donations_total_for_month': 5401.47}",True,2023-04-01,2023-04,3.2,69.15,60,5401.47
5,2023-05-01,Lighthouse Sanctuary Impact Update - May 2023,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 78.85%.","{'month': '2023-05', 'avg_health_score': 3.2, 'avg_education_progress': 78.85, 'total_residents': 60, 'donations_total_for_month': 4862.09}",True,2023-05-01,2023-05,3.2,78.85,60,4862.09
6,2023-06-01,Lighthouse Sanctuary Impact Update - June 2023,"Anonymized aggregate report: 60 residents active, average health score 3.23, average education progress 78.91%.","{'month': '2023-06', 'avg_health_score': 3.23, 'avg_education_progress': 78.91, 'total_residents': 60, 'donations_total_for_month': 1306.86}",True,2023-06-01,2023-06,3.23,78.91,60,1306.86
7,2023-07-01,Lighthouse Sanctuary Impact Update - July 2023,"Anonymized aggregate report: 60 residents active, average health score 3.19, average education progress 79.46%.","{'month': '2023-07', 'avg_health_score': 3.19, 'avg_education_progress': 79.46, 'total_residents': 60, 'donations_total_for_month': 6592.33}",True,2023-07-01,2023-07,3.19,79.46,60,6592.33
8,2023-08-01,Lighthouse Sanctuary Impact Update - August 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 81.2%.","{'month': '2023-08', 'avg_health_score': 3.13, 'avg_education_progress': 81.2, 'total_residents': 60, 'donations_total_for_month': 4897.48}",True,2023-08-01,2023-08,3.13,81.2,60,4897.48
9,2023-09-01,Lighthouse Sanctuary Impact Update - September 2023,"Anonymized aggregate report: 60 residents active, average health score 3.09, average education progress 84.18%.","{'month': '2023-09', 'avg_health_score': 3.09, 'avg_education_progress': 84.18, 'total_residents': 60, 'donations_total_for_month': 2676.03}",True,2023-09-01,2023-09,3.09,84.18,60,2676.03
10,2023-10-01,Lighthouse Sanctuary Impact Update - October 2023,"Anonymized aggregate report: 60 residents active, average health score 3.12, average education progress 79.91%.","{'month': '2023-10', 'avg_health_score': 3.12, 'avg_education_progress': 79.91, 'total_residents': 60, 'donations_total_for_month': 4543.2}",True,2023-10-01,2023-10,3.12,79.91,60,4543.2
11,2023-11-01,Lighthouse Sanctuary Impact Update - November 2023,"Anonymized aggregate report: 60 residents active, average health score 3.15, average education progress 81.89%.","{'month': '2023-11', 'avg_health_score': 3.15, 'avg_education_progress': 81.89, 'total_residents': 60, 'donations_total_for_month': 6302.16}",True,2023-11-01,2023-11,3.15,81.89,60,6302.16
12,2023-12-01,Lighthouse Sanctuary Impact Update - December 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 81.07%.","{'month': '2023-12', 'avg_health_score': 3.13, 'avg_education_progress': 81.07, 'total_residents': 60, 'donations_total_for_month': 17960.36}",True,2023-12-01,2023-12,3.13,81.07,60,17960.36
13,2024-01-01,Lighthouse Sanctuary Impact Update - January 2024,"Anonymized aggregate report: 60 residents active, average health score 3.08, average education progress 74.59%.","{'month': '2024-01', 'avg_health_score': 3.08, 'avg_education_progress': 74.59, 'total_residents': 60, 'donations_total_for_month': 5840.11}",True,2024-01-01,2024-01,3.08,74.59,60,5840.11
14,2024-02-01,Lighthouse Sanctuary Impact Update - February 2024,"Anonymized aggregate report: 60 residents active, average health score 3.1, average education progress 73.95%.","{'month': '2024-02', 'avg_health_score': 3.1, 'avg_education_progress': 73.95, 'total_residents': 60, 'donations_total_for_month': 1875.32}",True,2024-02-01,2024-02,3.1,73.95,60,1875.32
15,2024-03-01,Lighthouse Sanctuary Impact Update - March 2024,"Anonymized aggregate report: 60 residents active, average health score 3.11, average education progress 76.67%.","{'month': '2024-03', 'avg_health_score': 3.11, 'avg_education_progress': 76.67, 'total_residents': 60, 'donations_total_for_month': 2776.28}",True,2024-03-01,2024-03,3.11,76.67,60,2776.28
16,2024-04-01,Lighthouse Sanctuary Impact Update - April 2024,"Anonymized aggregate report: 60 residents active, average health score 3.14, average education progress 78.3%.","{'month': '2024-04', 'avg_health_score': 3.14, 'avg_education_progress': 78.3, 'total_residents': 60, 'donations_total_for_month': 3833.67}",True,2024-04-01,2024-04,3.14,78.3,60,3833.67
17,2024-05-01,Lighthouse Sanctuary Impact Update - May 2024,"Anonymized aggregate report: 60 residents active, average health score 3.17, average education progress 77.23%.","{'month': '2024-05', 'avg_health_score': 3.17, 'avg_education_progress': 77.23, 'total_residents': 60, 'donations_total_for_month': 767.63}",True,2024-05-01,2024-05,3.17,77.23,60,767.63
18,2024-06-01,Lighthouse Sanctuary Impact Update - June 2024,"Anonymized aggregate report: 60 residents active, average health score 3.12, average education progress 71.84%.","{'month': '2024-06', 'avg_health_score': 3.12, 'avg_education_progress': 71.84, 'total_residents': 60, 'donations_total_for_month': 3711.84}",True,2024-06-01,2024-06,3.12,71.84,60,3711.84
19,2024-07-01,Lighthouse Sanctuary Impact Update - July 2024,"Anonymized aggregate report: 60 residents active, average health score 3.16, average education progress 76.78%.","{'month': '2024-07', 'avg_health_score': 3.16, 'avg_education_progress': 76.78, 'total_residents': 60, 'donations_total_for_month': 4109.89}",True,2024-07-01,2024-07,3.16,76.78,60,4109.89
20,2024-08-01,Lighthouse Sanctuary Impact Update - August 2024,"Anonymized aggregate report: 60 residents active, average health score 3.15, average education progress 76.61%.","{'month': '2024-08', 'avg_health_score': 3.15, 'avg_education_progress': 76.61, 'total_residents': 60, 'donations_total_for_month': 7299.28}",True,2024-08-01,2024-08,3.15,76.61,60,7299.28
21,2024-09-01,Lighthouse Sanctuary Impact Update - September 2024,"Anonymized aggregate report: 60 residents active, average health score 3.12, average education progress 81.05%.","{'month': '2024-09', 'avg_health_score': 3.12, 'avg_education_progress': 81.05, 'total_residents': 60, 'donations_total_for_month': 8020.51}",True,2024-09-01,2024-09,3.12,81.05,60,8020.51
22,2024-10-01,Lighthouse Sanctuary Impact Update - October 2024,"Anonymized aggregate report: 60 residents active, average health score 3.1, average education progress 75.73%.","{'month': '2024-10', 'avg_health_score': 3.1, 'avg_education_progress': 75.73, 'total_residents': 60, 'donations_total_for_month': 13284.48}",True,2024-10-01,2024-10,3.1,75.73,60,13284.48
23,2024-11-01,Lighthouse Sanctuary Impact Update - November 2024,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 77.74%.","{'month': '2024-11', 'avg_health_score': 3.13, 'avg_education_progress': 77.74, 'total_residents': 60, 'donations_total_for_month': 13158.83}",True,2024-11-01,2024-11,3.13,77.74,60,13158.83
24,2024-12-01,Lighthouse Sanctuary Impact Update - December 2024,"Anonymized aggregate report: 60 residents active, average health score 3.18, average education progress 69.48%.","{'month': '2024-12', 'avg_health_score': 3.18, 'avg_education_progress': 69.48, 'total_residents': 60, 'donations_total_for_month': 14273.06}",True,2024-12-01,2024-12,3.18,69.48,60,14273.06
25,2025-01-01,Lighthouse Sanctuary Impact Update - January 2025,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 77.8%.","{'month': '2025-01', 'avg_health_score': 3.2, 'avg_education_progress': 77.8, 'total_residents': 60, 'donations_total_for_month': 5786.6}",True,2025-01-01,2025-01,3.2,77.8,60,5786.6
26,2025-02-01,Lighthouse Sanctuary Impact Update - February 2025,"Anonymized aggregate report: 60 residents active, average health score 3.21, average education progress 83.13%.","{'month': '2025-02', 'avg_health_score': 3.21, 'avg_education_progress': 83.13, 'total_residents': 60, 'donations_total_for_month': 3300.97}",True,2025-02-01,2025-02,3.21,83.13,60,3300.97
27,2025-03-01,Lighthouse Sanctuary Impact Update - March 2025,"Anonymized aggregate report: 60 residents active, average health score 3.17, average education progress 84.18%.","{'month': '2025-03', 'avg_health_score': 3.17, 'avg_education_progress': 84.18, 'total_residents': 60, 'donations_total_for_month': 7284.34}",True,2025-03-01,2025-03,3.17,84.18,60,7284.34
28,2025-04-01,Lighthouse Sanctuary Impact Update - April 2025,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 82.86%.","{'month': '2025-04', 'avg_health_score': 3.2, 'avg_education_progress': 82.86, 'total_residents': 60, 'donations_total_for_month': 6328.14}",True,2025-04-01,2025-04,3.2,82.86,60,6328.14
29,2025-05-01,Lighthouse Sanctuary Impact Update - May 2025,"Anonymized aggregate report: 60 residents active, average health score 3.28, average education progress 88.67%.","{'month': '2025-05', 'avg_health_score': 3.28, 'avg_education_progress': 88.67, 'total_residents': 60, 'donations_total_for_month': 3044.17}",True,2025-05-01,2025-05,3.28,88.67,60,3044.17
30,2025-06-01,Lighthouse Sanctuary Impact Update - June 2025,"Anonymized aggregate report: 60 residents active, average health score 3.27, average education progress 87.56%.","{'month': '2025-06', 'avg_health_score': 3.27, 'avg_education_progress': 87.56, 'total_residents': 60, 'donations_total_for_month': 5309.04}",True,2025-06-01,2025-06,3.27,87.56,60,5309.04
31,2025-07-01,Lighthouse Sanctuary Impact Update - July 2025,"Anonymized aggregate report: 60 residents active, average health score 3.33, average education progress 85.87%.","{'month': '2025-07', 'avg_health_score': 3.33, 'avg_education_progress': 85.87, 'total_residents': 60, 'donations_total_for_month': 10768.68}",True,2025-07-01,2025-07,3.33,85.87,60,10768.68
32,2025-08-01,Lighthouse Sanctuary Impact Update - August 2025,"Anonymized aggregate report: 60 residents active, average health score 3.35, average education progress 88.37%.","{'month': '2025-08', 'avg_health_score': 3.35, 'avg_education_progress': 88.37, 'total_residents': 60, 'donations_total_for_month': 12394.8}",True,2025-08-01,2025-08,3.35,88.37,60,12394.8
33,2025-09-01,Lighthouse Sanctuary Impact Update - September 2025,"Anonymized aggregate report: 60 residents active, average health score 3.36, average education progress 79.41%.","{'month': '2025-09', 'avg_health_score': 3.36, 'avg_education_progress': 79.41, 'total_residents': 60, 'donations_total_for_month': 3871.71}",True,2025-09-01,2025-09,3.36,79.41,60,3871.71
34,2025-10-01,Lighthouse Sanctuary Impact Update - October 2025,"Anonymized aggregate report: 60 residents active, average health score 3.31, average education progress 85.45%.","{'month': '2025-10', 'avg_health_score': 3.31, 'avg_education_progress': 85.45, 'total_residents': 60, 'donations_total_for_month': 7802.06}",True,2025-10-01,2025-10,3.31,85.45,60,7802.06
35,2025-11-01,Lighthouse Sanctuary Impact Update - November 2025,"Anonymized aggregate report: 60 residents active, average health score 3.34, average education progress 82.01%.","{'month': '2025-11', 'avg_health_score': 3.34, 'avg_education_progress': 82.01, 'total_residents': 60, 'donations_total_for_month': 12202.61}",True,2025-11-01,2025-11,3.34,82.01,60,12202.61
36,2025-12-01,Lighthouse Sanctuary Impact Update - December 2025,"Anonymized aggregate report: 60 residents active, average health score 3.38, average education progress 79.53%.","{'month': '2025-12', 'avg_health_score': 3.38, 'avg_education_progress': 79.53, 'total_residents': 60, 'donations_total_for_month': 9862.44}",True,2025-12-01,2025-12,3.38,79.53,60,9862.44
37,2026-01-01,Lighthouse Sanctuary Impact Update - January 2026,"Anonymized aggregate report: 60 residents active, average health score 3.87, average education progress 100.0%.","{'month': '2026-01', 'avg_health_score': 3.87, 'avg_education_progress': 100.0, 'total_residents': 60, 'donations_total_for_month': 2527.99}",True,2026-01-01,2026-01,3.87,100.0,60,2527.99
38,2026-02-01,Lighthouse Sanctuary Impact Update - February 2026,"Anonymized aggregate report: 60 residents active, average health score 3.94, average education progress 100.0%.","{'month': '2026-02', 'avg_health_score': 3.94, 'avg_education_progress': 100.0, 'total_residents': 60, 'donations_total_for_month': 3382.25}",True,2026-02-01,2026-02,3.94,100.0,60,3382.25
39,2026-03-01,Lighthouse Sanctuary Impact Update - March 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-03', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 342.96}",True,2026-03-01,2026-03,0.0,0.0,60,342.96
40,2026-04-01,Lighthouse Sanctuary Impact Update - April 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-04', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-04-01,2026-04,0.0,0.0,60,0.0
41,2026-05-01,Lighthouse Sanctuary Impact Update - May 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-05', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-05-01,2026-05,0.0,0.0,60,0.0
42,2026-06-01,Lighthouse Sanctuary Impact Update - June 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-06', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-06-01,2026-06,0.0,0.0,60,0.0
43,2026-07-01,Lighthouse Sanctuary Impact Update - July 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-07', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-07-01,2026-07,0.0,0.0,60,0.0
44,2026-08-01,Lighthouse Sanctuary Impact Update - August 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-08', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-08-01,2026-08,0.0,0.0,60,0.0
45,2026-09-01,Lighthouse Sanctuary Impact Update - September 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-09', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-09-01,2026-09,0.0,0.0,60,0.0
46,2026-10-01,Lighthouse Sanctuary Impact Update - October 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-10', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-10-01,2026-10,0.0,0.0,60,0.0
47,2026-11-01,Lighthouse Sanctuary Impact Update - November 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-11', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-11-01,2026-11,0.0,0.0,60,0.0
48,2026-12-01,Lighthouse Sanctuary Impact Update - December 2026,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2026-12', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2026-12-01,2026-12,0.0,0.0,60,0.0
49,2027-01-01,Lighthouse Sanctuary Impact Update - January 2027,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2027-01', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2027-01-01,2027-01,0.0,0.0,60,0.0
50,2027-02-01,Lighthouse Sanctuary Impact Update - February 2027,"Anonymized aggregate report: 60 residents active, average health score 0, average education progress 0%.","{'month': '2027-02', 'avg_health_score': 0, 'avg_education_progress': 0, 'total_residents': 60, 'donations_total_for_month': 0.0}",True,2027-02-01,2027-02,0.0,0.0,60,0.0
